agent,group,model,fit_AS,Unnamed: 0,id,fit_DB,fit_VS,fit_SG,r2,lambda,beta,tau,par
3,0,SG,318.5369375614787,21360,3,318.9207984717332,353.97996783314494,319.43484824687107,0.5869412253314373,1.0369516058318582,0.006737946999085468,0.07668335545904996,18.999999999999996
3,1,AS,356.2585281643936,6000,4,360.6046205793006,361.4980943349171,358.8909168861297,0.21072202792279854,0.9962222028748513,0.38506527899152343,0.04096113020648069,
3,1,DB,356.2585281643936,6000,4,360.6046205793006,361.4980943349171,358.8909168861297,0.18878339023696566,1.0114679761561534,0.3828213882925699,0.04200980430279603,0.21428570000000002
3,1,VS,356.2585281643936,6000,4,360.6046205793006,361.4980943349171,358.8909168861297,0.21257968938583666,0.9903969281428279,0.379523885853733,0.04274868131444295,0.116
3,1,SG,356.2585281643936,6000,4,360.6046205793006,361.4980943349171,358.8909168861297,0.21015891286838134,0.9762260951147721,0.38933489887015954,0.04164624535696289,18.999999999999996
4,1,AS,434.7408420861775,24480,5,429.8945684047564,436.2228716893049,436.2456329052498,0.2618785953660499,1.1383008780215123,0.2196651893291838,0.0798708319866264,
4,1,DB,434.7408420861775,24480,5,429.8945684047564,436.2228716893049,436.2456329052498,0.2687189134332044,1.3706092294366288,0.13662310446303977,0.09573809733906648,0.24585993298032197
4,1,VS,434.7408420861775,24480,5,429.8945684047564,436.2228716893049,436.2456329052498,0.19985510295486508,1.3206650183231698,0.14476230138795987,0.09438691289763365,0.116
4,1,SG,434.7408420861775,24480,5,429.8945684047564,436.2228716893049,436.2456329052498,0.2639131822545799,1.4012137650472303,0.11646332501992193,0.10174192613055495,18.999999999999996
2,1,AS,396.4660732307615,25680,6,392.79194316664393,429.780661223932,395.3732385435702,0.33673506265321757,0.6571678710705766,0.4486837951413227,0.025535671079694643,
2,1,DB,396.4660732307615,25680,6,392.79194316664393,429.780661223932,395.3732385435702,0.32864371750527355,0.4427776671401457,0.5110658346913032,0.01344746297616931,0.21428570000000002
