agent,group,model,r2_SG,r2_AS,id,r2_VS,Unnamed: 0,r2_DB,fit,lambda,beta,tau,par
1,0,AS,0.3622974529054638,0.38409491345909136,0,0.14404493887154937,0,0.3598724084411177,286.2594771050654,0.7592297301414075,0.4478976920690042,0.018983755905211997,
1,0,DB,0.3622974529054638,0.38409491345909136,0,0.14404493887154937,0,0.3598724084411177,296.93512784825907,0.7601478391174394,0.44689473227252485,0.019766004540178808,0.21428570000000002
1,0,VS,0.3622974529054638,0.38409491345909136,0,0.14404493887154937,0,0.3598724084411177,391.53689743155104,1.6049796365931095,0.129686394319516,0.07657770663326914,0.116
1,0,SG,0.3622974529054638,0.38409491345909136,0,0.14404493887154937,0,0.3598724084411177,297.6508440625797,0.7204605963614852,0.45592976308451544,0.019478191827488445,18.999999999999996
2,0,AS,0.3014333434407479,0.39344137118412625,1,0.28894157718965807,3840,0.30050114196713523,307.3435139912172,1.2028722365278817,3.4068947883955762,0.058652075313282585,
2,0,DB,0.3014333434407479,0.39344137118412625,1,0.28894157718965807,3840,0.30050114196713523,357.3612575065035,1.6904930786610157,0.006737946999085468,0.0933891792136882,0.21428570000000002
2,0,VS,0.3014333434407479,0.39344137118412625,1,0.28894157718965807,3840,0.30050114196713523,363.11397657566846,1.7068454721700903,0.006737946999085468,0.10229350701626755,0.116
2,0,SG,0.3014333434407479,0.39344137118412625,1,0.28894157718965807,3840,0.30050114196713523,356.92838984216075,1.687181572285084,0.006737946999085468,0.09112561221850334,18.999999999999996
3,0,AS,0.48646479295493844,0.4745882153739668,2,0.47515417452514264,7680,0.4617150872345356,282.21366535651987,1.5031195569697693,0.2484361294610576,0.03304143058718111,
3,0,DB,0.48646479295493844,0.4745882153739668,2,0.47515417452514264,7680,0.4617150872345356,289.1281898935339,1.5074180336251497,0.24507744329490605,0.034203416955968055,0.21535276946677234
3,0,VS,0.48646479295493844,0.4745882153739668,2,0.47515417452514264,7680,0.4617150872345356,281.9096725433227,1.5045940169283913,0.2476357355903353,0.033531153370135056,0.11703576011632816
3,0,SG,0.48646479295493844,0.4745882153739668,2,0.47515417452514264,7680,0.4617150872345356,275.8344165671104,1.5710246280127655,0.22659751589734145,0.03391035553066371,5.6966395466138176
4,0,AS,0.37356991828411124,0.3695880488672285,3,0.3000387520565074,11520,0.3549997983937154,338.61225160825893,0.869357810941873,0.43426473639765606,0.03284088160259033,
4,0,DB,0.37356991828411124,0.3695880488672285,3,0.3000387520565074,11520,0.3549997983937154,346.4480173023981,0.8695988939073613,0.43470429974028557,0.03371689618125041,0.21428570000000002
4,0,VS,0.37356991828411124,0.3695880488672285,3,0.3000387520565074,11520,0.3549997983937154,375.96916393920776,0.9867635914479947,0.3440590075975693,0.0466241576443739,0.116
4,0,SG,0.37356991828411124,0.3695880488672285,3,0.3000387520565074,11520,0.3549997983937154,336.47347589749074,0.8696976132061796,0.4332841804376241,0.032034965800095065,17.73251311981377
1,3,AS,0.21831519378473624,-0.9535389261858597,4,0.22441412625948337,120,0.32198463477417183,1049.301513417624,0.7666347459937247,0.59669768998675,0.02311157439653604,
1,3,DB,0.21831519378473624,-0.9535389261858597,4,0.22441412625948337,120,0.32198463477417183,364.1814039717669,0.7872751677157607,0.87473162526618,0.025682677526334893,0.21428570000000002
1,3,VS,0.21831519378473624,-0.9535389261858597,4,0.22441412625948337,120,0.32198463477417183,416.5893088653137,2.083288248704974,0.006810344652852375,0.09354417922885051,0.11767406473159159
1,3,SG,0.21831519378473624,-0.9535389261858597,4,0.22441412625948337,120,0.32198463477417183,419.8652195677836,2.0642082795656433,0.006737946999085468,0.092151547131849,18.999999999999996
2,3,AS,0.3759794044580782,0.3931024587516811,5,0.38778928756043646,3960,0.38036663885854993,325.9819909320347,0.7970367392719617,0.4565956905817892,0.019704892466336985,
2,3,DB,0.3759794044580782,0.3931024587516811,5,0.38778928756043646,3960,0.38036663885854993,332.82276329103166,0.8046992494586578,0.4493329984731881,0.020457311217562463,0.21428570000000002
2,3,VS,0.3759794044580782,0.3931024587516811,5,0.38778928756043646,3960,0.38036663885854993,328.8358468226388,0.942132587237038,0.38214257001609475,0.028824094766325047,0.13182918261476045
2,3,SG,0.3759794044580782,0.3931024587516811,5,0.38778928756043646,3960,0.38036663885854993,335.1792721040508,0.9158955315785478,0.3994919146162016,0.027324873995646565,16.672309290827037
3,3,AS,0.27863504598636407,0.25625019133184596,6,0.23233394420010167,7800,0.2476391737410828,399.4892496784132,0.6878254912072905,0.45021940981817093,0.02534485285232682,
3,3,DB,0.27863504598636407,0.25625019133184596,6,0.23233394420010167,7800,0.2476391737410828,404.1144729943852,0.585685581970819,0.4283476665734166,0.01882874588265615,0.2169913596540075
3,3,VS,0.27863504598636407,0.25625019133184596,6,0.23233394420010167,7800,0.2476391737410828,412.3353486090376,1.5864479932478563,0.05409585253633071,0.08148330775468149,0.21324857644209547
3,3,SG,0.27863504598636407,0.25625019133184596,6,0.23233394420010167,7800,0.2476391737410828,387.46570535494334,1.00328753864837,0.2660379802407907,0.045743219112549784,14.86712346819448
4,3,AS,0.34160138975234805,0.3454275134245545,7,0.3110154273743049,11640,0.3309697126794999,351.5895647629424,0.4541533715250672,1.8289460892994354,0.007459077627429066,
4,3,DB,0.34160138975234805,0.3454275134245545,7,0.3110154273743049,11640,0.3309697126794999,359.3552621847469,0.4074278318986755,10.487473587237458,0.005617373714924942,0.21428570000000002
4,3,VS,0.34160138975234805,0.3454275134245545,7,0.3110154273743049,11640,0.3309697126794999,370.0732783395558,0.6649245582203979,0.4222958119912477,0.024196912499121582,0.116
4,3,SG,0.34160138975234805,0.3454275134245545,7,0.3110154273743049,11640,0.3309697126794999,353.644684989089,0.5345536222618087,0.5756265360362804,0.014115085524303104,18.999999999999996
1,6,AS,0.2485428258736966,0.33904872749470055,8,0.21135185688558097,240,0.24824193066260705,334.971800702976,0.37994190523754956,0.7026755505452318,0.003040923199823013,
1,6,DB,0.2485428258736966,0.33904872749470055,8,0.21135185688558097,240,0.24824193066260705,383.43123750645503,0.9378339179357471,1.3048724031637144,0.02984775850277456,0.21428570000000002
1,6,VS,0.2485428258736966,0.33904872749470055,8,0.21135185688558097,240,0.24824193066260705,400.9443397584345,1.9752930801806248,0.006737946999085468,0.08537739218296843,0.116
1,6,SG,0.2485428258736966,0.33904872749470055,8,0.21135185688558097,240,0.24824193066260705,382.275285169763,5.422237655654162,0.1782926875609263,0.059204186764944815,14.3647777355209
2,6,AS,0.28745877385243734,-2.3915007159024726,9,0.2554242112950781,4080,0.2662024366653021,1814.0092643064097,0.8363819443206606,1.6069807871909396,0.025904867656624926,
2,6,DB,0.28745877385243734,-2.3915007159024726,9,0.2554242112950781,4080,0.2662024366653021,386.7180213238382,1.2579496441717617,0.20608093969897048,0.04676251511306073,0.21641682575894566
2,6,VS,0.28745877385243734,-2.3915007159024726,9,0.2554242112950781,4080,0.2662024366653021,392.3112719874367,1.714872050762101,0.03573591615241196,0.07224501188754574,0.116
2,6,SG,0.28745877385243734,-2.3915007159024726,9,0.2554242112950781,4080,0.2662024366653021,375.37518511753257,1.1005358575946016,0.2498672300631016,0.04071723314722526,16.875490329859304
3,6,AS,0.4516532614886747,0.45812223380635897,10,0.45320075924674086,7920,0.4540802323902031,291.05801401382104,1.3958374747593147,0.24390046588028466,0.030323576119301657,
3,6,DB,0.4516532614886747,0.45812223380635897,10,0.45320075924674086,7920,0.4540802323902031,293.22908833763256,1.393672869985442,0.2456008717549438,0.029967841339586607,0.21526394897909945
3,6,VS,0.4516532614886747,0.45812223380635897,10,0.45320075924674086,7920,0.4540802323902031,293.70147846412306,1.3869489013243157,0.23996778741502361,0.03129569292922574,0.11624807779630748
3,6,SG,0.4516532614886747,0.45812223380635897,10,0.45320075924674086,7920,0.4540802323902031,294.5326836772793,1.3926586260133949,0.23388323475049133,0.03035445860072129,11.140887656155858
4,6,AS,0.4275118123556038,0.42068747917884264,11,0.32046629651488767,11760,0.40501702483249324,311.1652891535913,0.8543522537050683,0.41350352549432845,0.022793167328422775,
4,6,DB,0.4275118123556038,0.42068747917884264,11,0.32046629651488767,11760,0.40501702483249324,319.5823374351271,0.8621053875677199,0.4105982371388182,0.023735827665613492,0.21428570000000002
4,6,VS,0.4275118123556038,0.42068747917884264,11,0.32046629651488767,11760,0.40501702483249324,364.996946785883,1.1405884258357246,0.3061216892083801,0.039804919618886124,0.116
