Unnamed: 0,agent,group,fit_AS,fit_DB,fit_VS,fit_SG,r2_AS,r2_DB,r2_VS,r2_SG,id,model,lambda,beta,tau,par
3480,3,0,366.4460191381143,363.8077093949655,366.5184211560833,373.8649563919528,0.2014603181786269,0.1981975679340306,0.2002790070733285,0.2026570356304343,0,DB,0.8401082483574241,0.38190457894146246,0.045203380906624256,0.21428570000000002
11040,2,0,395.833496968322,403.23569701350334,408.2642475659472,410.8574921713989,0.25679567251228175,0.24256191964147378,0.23369236500210577,0.22831942964364615,1,AS,0.4499597295442257,0.5012599213345391,0.016940897795570432,
12360,1,0,418.5914929399437,420.3235388000322,419.2126640162917,417.980877342005,0.3177684835309691,0.322680361305537,0.31763368894749766,0.30395626413456417,2,SG,0.8281245264506283,0.42228296302206064,0.05061354241791571,13.203339782147125
12480,4,0,436.3174354601999,438.5504957569172,435.2202758191367,437.0895631408507,0.18768525209794001,0.18352784818841078,0.18972789097689885,0.1862477420392497,3,VS,0.8843678194849801,0.3123845158514437,0.05474486786191771,0.11668477141842874
7320,1,1,518.9327797522349,511.57818275166994,496.1836070357331,486.9861253998244,-inf,-inf,-inf,-inf,4,SG,7.335409690604921,0.006737946999085468,0.18652247137776257,18.999999999999996
8760,2,1,408.3943888286602,410.686332083414,407.74059208892055,409.0489763725633,0.23267307433663548,0.22828815607253256,0.23384890464805164,0.23158677837165165,5,VS,1.6285283175770555,0.006737946999085468,0.10583543783504619,0.1572378906019103
14040,3,1,407.5310726291856,410.50520462675127,395.1673976463204,393.1360358911879,0.24127831340072534,0.2357412179571713,0.26429640690472717,0.268078298202007,6,SG,1.9725029015287512,0.07112611623790925,0.1013516485209239,18.999999999999996
18120,4,1,417.87509607185007,417.8994834365016,412.19673145584136,419.39403171578135,0.22202030968089145,0.22197490646213627,0.2325920149272883,0.21919242859156918,7,VS,1.8812450343144798,0.007685003049429701,0.11524682494902659,0.11635645179519065
1440,1,2,372.4007125517372,376.0950021411397,385.7835092805523,373.20333500288586,0.29330997063005537,0.28618488211998566,0.2678403389985383,0.291666016377953,8,AS,1.049667435420903,0.4149862726814627,0.04240162380531377,
1800,2,2,478.3304575661852,583.0922998537111,420.9147165774457,422.0860085327321,0.10946743477732061,-0.08557310816543236,0.21636129089307576,0.214180636048571,9,VS,2.090783997470965,0.006737946999085468,0.11520975174068784,0.116
11400,3,2,415.2403891648473,416.9028822211459,417.73733074206456,414.3307732467913,0.21925174660072191,0.21610651963760263,0.21448865064745898,0.2209348664723873,10,SG,1.0163581875838363,0.3471862701955946,0.06327192888889933,18.744403557027706
17880,4,2,1157.935435484813,429.90286899698725,421.8160690156259,427.97379509579525,-1.1557883204245885,0.19962758241982992,0.21468319641624367,0.20321903912629516,11,VS,1.526354926942266,0.006737946999085468,0.10048929103775238,0.2827035569632634
960,3,3,383.1197705701133,384.9770118619675,386.75526694586347,383.7157519532728,0.20304340268890964,0.19590715461235797,0.19321057089124916,0.21676514370910555,12,AS,0.7793602857234732,0.4394934996079928,0.04866974524630038,
8400,1,3,403.7292251662407,407.2524571008753,409.4439726078157,397.2881026555009,0.08670997175113355,0.07748769122838597,0.09533004397607098,0.09545018245858226,13,SG,0.8285598258126365,0.3919558876741984,0.0459104642208957,8.032517857428259
14640,4,3,380.328629573374,381.2058856563525,380.1496061308637,381.91730942842497,0.25872198805566127,0.25473756578865825,0.2525924838579879,0.25805376251838275,14,VS,1.4251100208230725,0.010172726263089857,0.08569196968242183,0.116
16080,2,3,417.5146468703861,421.8103181644004,412.70249067255696,413.49077359320745,0.2919225092942389,0.2902892762488105,0.29225580650116323,0.28896478179799134,15,VS,2.01432897995271,0.03849258515280322,0.11668557149471455,0.22430505145132662
1560,4,6,392.1517595236056,397.7568935053268,444.7609793346133,404.1430623380308,0.316327867425661,0.3335951948268824,0.3226892441017972,0.32972817101593643,16,AS,0.7232058944487627,0.41496906470948586,0.04096493071953106,
2280,2,6,326.28744362103794,331.0781275093095,329.3407245106875,324.72154809191204,0.39253378167417224,0.38361471757379945,0.3868493306424736,0.39544909041181486,17,SG,1.7372676945098595,0.006737946999085468,0.07634804801819611,18.999999999999996
6240,3,6,412.2515588437278,412.8028591704562,401.50996879126336,413.5062497288445,0.22211082026988155,0.22120611587499509,0.2442826908245791,0.2199404379532166,18,VS,1.9817611623408842,0.006737946999085468,0.12290685719293577,0.116
9840,1,6,358.3755912082021,348.9723386197651,354.4898045561382,351.19153241399084,0.2013509248350608,0.18993589100783395,0.10326702878203813,0.1802931794481647,19,DB,0.9672582293487932,0.1854494225529471,0.059643474054692856,0.21428570000000002
3600,3,7,451.5831775752629,514.1727006789296,459.5952683628344,470.4949901742864,0.2514003739430993,0.24706822342764237,0.2522701985964657,0.23065389843482764,20,AS,1.0682259180831044,0.2089228470208154,0.1036458330419226,
10920,4,7,454.4388622873959,452.1275106827071,447.7661830061799,452.6212343392816,0.26124452960916966,0.2539824758706366,0.23240466459378395,0.23823518727635806,21,VS,1.8083671521416251,0.006737946999085468,0.13202577759402384,0.30323033614421346
