agent,group,model,fit_SG,fit_VS,id,fit_DB,fit_AS,Unnamed: 0,r2,lambda,beta,tau,par
2,1,SG,388.9451912217856,400.5899098927528,6,393.9707252395649,391.2948367786704,25680,0.2513203385072156,0.8783702956257193,0.37743306305115903,0.05275882449565132,11.284836943024185
1,1,AS,374.1261810148367,382.0623990438443,7,379.70904199735816,377.8238838417968,27120,0.2961770754550604,0.7166913768449109,0.4869785223476153,0.039947164960063106,
1,1,DB,374.1261810148367,382.0623990438443,7,379.70904199735816,377.8238838417968,27120,0.2953004217463331,0.7417278446159357,0.47330045223929684,0.04168088179075445,0.21428570000000002
1,1,VS,374.1261810148367,382.0623990438443,7,379.70904199735816,377.8238838417968,27120,0.2957276184378905,0.7456402282793647,0.4417396765055071,0.04392689435240816,0.116
1,1,SG,374.1261810148367,382.0623990438443,7,379.70904199735816,377.8238838417968,27120,0.2956322318886105,0.6784794272897084,0.47272259098743696,0.03745247998463305,10.752924430561183
4,2,AS,412.979543061241,429.13698556124353,8,409.31133034411096,406.1457826439096,4320,0.28618825747245213,1.1070645201437412,0.31001824517286425,0.07427157662410795,
4,2,DB,412.979543061241,429.13698556124353,8,409.31133034411096,406.1457826439096,4320,0.2936121726455878,0.8116148166347142,0.4166190038970718,0.05491804814936424,0.21428570000000002
4,2,VS,412.979543061241,429.13698556124353,8,409.31133034411096,406.1457826439096,4320,0.29045089435428517,1.7024882058629158,0.10912808417415336,0.10729684121778907,0.160532419397992
4,2,SG,412.979543061241,429.13698556124353,8,409.31133034411096,406.1457826439096,4320,0.30397868407743583,1.2239490847917898,0.2527661114374438,0.07638601900849612,3.7689708622454794
1,2,AS,373.8529140007464,381.1190759591424,9,379.4210631625023,383.4086598887495,20160,0.3246441802695176,0.8573182032108587,0.3661930393877277,0.053875128547661424,
1,2,DB,373.8529140007464,381.1190759591424,9,379.4210631625023,383.4086598887495,20160,0.31800909466254873,0.7401693893952019,0.4074755700514098,0.04518111350830485,0.21428570000000002
1,2,VS,373.8529140007464,381.1190759591424,9,379.4210631625023,383.4086598887495,20160,0.3222863233043548,0.9264654930354621,0.31705562894845796,0.059242981474636136,0.12761969793048528
1,2,SG,373.8529140007464,381.1190759591424,9,379.4210631625023,383.4086598887495,20160,0.3286198918744119,0.8313298958046276,0.34635508571604334,0.05094448856833744,5.590885080403065
2,2,AS,360.61741800564624,364.0193584516811,10,366.3167800320349,362.7528861798447,23040,0.28658055728658277,0.943612886948684,0.4267018168547192,0.04321679226123734,
