agent,group,model,r2_SG,id,r2_DB,Unnamed: 0,r2_VS,r2_AS,fit,lambda,beta,tau,par
3,0,AS,0.2026570356304343,0,0.1981975679340306,3480,0.2002790070733285,0.2014603181786269,366.4460191381143,0.9705747260372447,0.3441744356888632,0.05047352817765917,
3,0,DB,0.2026570356304343,0,0.1981975679340306,3480,0.2002790070733285,0.2014603181786269,363.8077093949655,0.8401082483574241,0.38190457894146246,0.045203380906624256,0.21428570000000002
3,0,VS,0.2026570356304343,0,0.1981975679340306,3480,0.2002790070733285,0.2014603181786269,366.5184211560833,0.9888341647334732,0.3160096516285912,0.051472518282977935,0.116
3,0,SG,0.2026570356304343,0,0.1981975679340306,3480,0.2002790070733285,0.2014603181786269,373.8649563919528,1.093266368029858,0.3068648638571205,0.05574714674309808,18.999999999999996
2,0,AS,0.22831942964364615,1,0.24256191964147378,11040,0.23369236500210577,0.25679567251228175,395.833496968322,0.4499597295442257,0.5012599213345391,0.016940897795570432,
2,0,DB,0.22831942964364615,1,0.24256191964147378,11040,0.23369236500210577,0.25679567251228175,403.23569701350334,0.8167725025535375,0.4900442741146107,0.03872796676429935,0.21428570000000002
2,0,VS,0.22831942964364615,1,0.24256191964147378,11040,0.23369236500210577,0.25679567251228175,408.2642475659472,1.845781590733539,0.10331018264816906,0.09809531026264827,0.116
2,0,SG,0.22831942964364615,1,0.24256191964147378,11040,0.23369236500210577,0.25679567251228175,410.8574921713989,1.9453072657053576,0.06375590384242182,0.10629406753860045,18.999999999999996
1,0,AS,0.30395626413456417,2,0.322680361305537,12360,0.31763368894749766,0.3177684835309691,418.5914929399437,0.84775066531386,0.43065476794227936,0.05152566161669786,
1,0,DB,0.30395626413456417,2,0.322680361305537,12360,0.31763368894749766,0.3177684835309691,420.3235388000322,0.8534167152068906,0.4243074834302098,0.05284701303978062,0.21428570000000002
1,0,VS,0.30395626413456417,2,0.322680361305537,12360,0.31763368894749766,0.3177684835309691,419.2126640162917,0.883905670129303,0.3841692102297621,0.05397400809455938,0.116
1,0,SG,0.30395626413456417,2,0.322680361305537,12360,0.31763368894749766,0.3177684835309691,417.980877342005,0.8281245264506283,0.42228296302206064,0.05061354241791571,13.203339782147125
4,0,AS,0.1862477420392497,3,0.18352784818841078,12480,0.18972789097689885,0.18768525209794001,436.3174354601999,0.903095646099479,0.3266866538896549,0.05784607788580767,
4,0,DB,0.1862477420392497,3,0.18352784818841078,12480,0.18972789097689885,0.18768525209794001,438.5504957569172,0.9130504159748973,0.3211333268956781,0.05942688772781571,0.21428570000000002
4,0,VS,0.1862477420392497,3,0.18352784818841078,12480,0.18972789097689885,0.18768525209794001,435.2202758191367,0.8843678194849801,0.3123845158514437,0.05474486786191771,0.11668477141842874
4,0,SG,0.1862477420392497,3,0.18352784818841078,12480,0.18972789097689885,0.18768525209794001,437.0895631408507,0.8812201240574896,0.3262367340973066,0.0566656859052134,17.85177425169039
1,1,AS,-inf,4,-inf,7320,-inf,-inf,518.9327797522349,6.3183326256971,0.05950860682710476,0.1698619528720125,
1,1,DB,-inf,4,-inf,7320,-inf,-inf,511.57818275166994,6.211458323451065,0.05910288774856016,0.16934106526228207,0.219989240398071
1,1,VS,-inf,4,-inf,7320,-inf,-inf,496.1836070357331,6.465527823612733,0.0069560875556593585,0.1786957894113165,0.11620734851631176
1,1,SG,-inf,4,-inf,7320,-inf,-inf,486.9861253998244,7.335409690604921,0.006737946999085468,0.18652247137776257,18.999999999999996
2,1,AS,0.23158677837165165,5,0.22828815607253256,8760,0.23384890464805164,0.23267307433663548,408.3943888286602,1.5885583289701484,0.006768207571614989,0.10734724064036957,
2,1,DB,0.23158677837165165,5,0.22828815607253256,8760,0.23384890464805164,0.23267307433663548,410.686332083414,1.6208565263422663,0.006737946999085468,0.11041346472719224,0.21428570000000002
2,1,VS,0.23158677837165165,5,0.22828815607253256,8760,0.23384890464805164,0.23267307433663548,407.74059208892055,1.6285283175770555,0.006737946999085468,0.10583543783504619,0.1572378906019103
2,1,SG,0.23158677837165165,5,0.22828815607253256,8760,0.23384890464805164,0.23267307433663548,409.0489763725633,1.6092084732971679,0.006737946999085468,0.10466538671172992,18.999999999999996
3,1,AS,0.268078298202007,6,0.2357412179571713,14040,0.26429640690472717,0.24127831340072534,407.5310726291856,1.0421513366622364,0.32032830512594784,0.048972878675155346,
3,1,DB,0.268078298202007,6,0.2357412179571713,14040,0.26429640690472717,0.24127831340072534,410.50520462675127,1.2820781155413783,0.25962596933884713,0.06465931167615442,0.21428570000000002
3,1,VS,0.268078298202007,6,0.2357412179571713,14040,0.26429640690472717,0.24127831340072534,395.1673976463204,2.1249240246816434,0.006737946999085468,0.11384641616622972,0.116
3,1,SG,0.268078298202007,6,0.2357412179571713,14040,0.26429640690472717,0.24127831340072534,393.1360358911879,1.9725029015287512,0.07112611623790925,0.1013516485209239,18.999999999999996
4,1,AS,0.21919242859156918,7,0.22197490646213627,18120,0.2325920149272883,0.22202030968089145,417.87509607185007,1.5183856933084618,0.14656617452780457,0.08924134311565454,
4,1,DB,0.21919242859156918,7,0.22197490646213627,18120,0.2325920149272883,0.22202030968089145,417.8994834365016,1.4946568509742217,0.14933065745511492,0.09018569596444767,0.21428570000000002
4,1,VS,0.21919242859156918,7,0.22197490646213627,18120,0.2325920149272883,0.22202030968089145,412.19673145584136,1.8812450343144798,0.007685003049429701,0.11524682494902659,0.11635645179519065
4,1,SG,0.21919242859156918,7,0.22197490646213627,18120,0.2325920149272883,0.22202030968089145,419.39403171578135,1.5773440787548778,0.11981990986510002,0.09399664076786904,18.999999999999996
1,2,AS,0.291666016377953,8,0.28618488211998566,1440,0.2678403389985383,0.29330997063005537,372.4007125517372,1.049667435420903,0.4149862726814627,0.04240162380531377,
