Unnamed: 0,agent,group,fit_AS,fit_DB,fit_VS,fit_SG,r2_AS,r2_DB,r2_VS,r2_SG,id,model,lambda,beta,tau,par
240,1,0,311.8382753950291,317.79572845117724,349.82744369122184,311.4646632177436,0.41943454586784956,0.40834324723033544,0.34870814540901285,0.4201301189917719,0,SG,1.317131980347632,0.030235690287731664,0.07015866349134435,18.999999999999996
6960,4,0,219.11522829881056,231.3521447092353,264.58229474895245,221.86565702910195,0.6408643655509784,0.61403939465564,0.5434411717219432,0.6413502211678316,1,AS,1.0467100916733154,0.006737946999085468,0.0639624193438228,
20400,2,0,192.9019993910805,207.310456873327,245.2307773624387,192.6410324724116,0.406963299874021,0.4062486461535848,0.3409771763315437,0.4052916130864559,2,SG,0.7514641945749555,0.054287438302404005,0.0452989570568554,18.986745264443513
21360,3,0,318.5369375614787,318.9207984717332,353.97996783314494,319.43484824687107,0.5920618408262381,0.569279740315979,0.5074134504121853,0.5869412253314373,3,AS,1.072346055728777,0.006737946999085468,0.07773343861870968,
6000,3,1,356.2585281643936,360.6046205793006,361.4980943349171,358.8909168861297,0.21072202792279854,0.18878339023696566,0.21257968938583666,0.21015891286838134,4,AS,0.9962222028748513,0.38506527899152343,0.04096113020648069,
24480,4,1,434.7408420861775,429.8945684047564,436.2228716893049,436.2456329052498,0.2618785953660499,0.2687189134332044,0.19985510295486508,0.2639131822545799,5,DB,1.3706092294366288,0.13662310446303977,0.09573809733906648,0.24585993298032197
25680,2,1,396.4660732307615,392.79194316664393,429.780661223932,395.3732385435702,0.33673506265321757,0.32864371750527355,0.326980291179472,0.3318342083506111,6,DB,0.4427776671401457,0.5110658346913032,0.01344746297616931,0.21428570000000002
27120,1,1,384.69480610508015,396.2188548260133,387.10367659048114,384.9828233192996,0.1906204775670125,0.1996430360619203,0.18786130636364734,0.18781893063008834,7,AS,1.0058148662483641,0.33802667107577733,0.05406409296397706,
4320,4,2,360.800725721654,361.7347376716396,396.396680507481,371.15784480017305,0.2928597580448994,0.2692067136418081,0.2877540136196842,0.2884360754119725,8,AS,0.527957514228315,0.45989910237260107,0.015990678810186502,
20160,1,2,379.8252065192774,392.529931752245,382.56764757365767,382.2012927182211,0.28585059005948793,0.27254107411684025,0.29441647848093266,0.2832301681230974,9,AS,1.1673334706305198,0.2991188847109769,0.0665955502540833,
23040,2,2,383.5900306936543,390.7389515747668,378.9890475425598,384.9975341054321,0.2967333576371359,0.28893973974649895,0.27899543517683734,0.29660722011701823,10,VS,0.6440474027049352,0.46503252941227613,0.03248590715317679,0.116
29280,3,2,377.7445856214674,381.9307602290094,387.27213003483376,377.8123376836271,0.328278618413817,0.32653972003381126,0.2620077873898763,0.30899623387104713,11,AS,0.8212883493098508,0.39955682228629574,0.04901104486984925,
10560,2,4,397.0120860984291,402.3815409638737,406.2540088604275,397.33322801480136,0.2831180893281361,0.26221889830694645,0.21431571733428126,0.241373581991302,12,AS,1.3200628667831018,0.20660580283785096,0.07355469890433977,
12960,1,4,385.0577348250586,396.2832868085833,422.0134525188077,407.479901150116,0.26086205495555037,0.2508654629770643,0.24365588910378994,0.2602641684315716,13,AS,0.8132041787721732,0.4417402046001292,0.0419067365785986,
18480,3,4,323.0067151534201,325.2849389229187,324.1864185482888,325.40326797768586,0.39864168363160213,0.3944001965477022,0.3964453687747566,0.39417989722321783,14,AS,1.2612273547417154,0.1883773279321909,0.05732505214429218,
22080,4,4,396.0485277490049,400.3736189507953,410.9867312300382,396.6430497554039,0.26265596139634145,0.2546037152936157,0.23484473496206765,0.26154910901204276,15,AS,0.8372533588728766,0.45614176549851976,0.05019721664170027,
480,4,6,387.50177920262377,389.9979536082344,386.6589786364878,388.0802308837271,0.17862451956878844,0.17179754175403156,0.1779744368278613,0.1634572786491767,16,VS,1.0078777288498797,0.4002650430836728,0.04953848534670336,0.116
5040,1,6,436.88800183624375,440.4110015639908,437.0760875105137,444.4916760134122,0.2853845398263126,0.2773028275059887,0.2621565408543517,0.2799791425161856,17,AS,0.5163424475944606,0.5633452110091515,0.027387766686545887,
5520,3,6,383.1350574611062,388.2940725649778,387.73269255988185,387.3000179399722,0.286697637270218,0.277092831885569,0.27813798209102847,0.27894351482071367,18,AS,0.8950543865975857,0.37493810007635164,0.04987896549562637,
11280,2,6,383.84035957548224,388.1812779237429,396.3167807761226,386.7437527467736,0.2785678854374085,0.27392062837587394,0.2801369708641469,0.2774909520093109,19,AS,0.8941556554233002,0.40418215508420063,0.053641365327682725,
7440,3,8,386.08958624185567,383.5199496479884,390.86317288330446,389.50616770167954,0.2663271642854494,0.2554537695399168,0.27101096361053734,0.2785843196797971,20,DB,1.1191731911010216,0.3340297104628582,0.05164830688442396,0.21428570000000002
8880,2,8,417.83166376333503,414.5221858023561,417.2714613502699,404.7517672976705,0.22210116985716422,0.22826259623409678,0.22314412767860253,0.2464526899583143,21,SG,1.761262415667772,0.006737946999085468,0.11157037315111538,18.999999999999996
13680,1,8,394.0766198970712,399.91703055361785,391.5608175987495,387.4929519019855,0.2811970381498264,0.28598106356871794,0.2723098048786023,0.27483621164676364,22,SG,1.4948941165845944,0.16242794050291745,0.06988049599518381,18.999999999999996
20880,4,8,389.4494305438213,395.61026703140624,407.9655835272084,390.10555037403634,0.2749418421495502,0.26347189405316046,0.24046936197705437,0.2737203099091242,23,AS,0.7083292472915047,0.487957975030131,0.04179532356073325,
