eps_soc,obs_prop
0,0.9999000099990001
1,0.49997500124993755
2,0.3333222225925802
3,0.24999375015624611
4,0.1999960000799984
5,0.1666638889351844
6,0.14285510206997043
7,0.124998437519531
8,0.11110987655692715
9,0.09999900000999991
10,0.090908264470323
11,0.08333263889467588
12,0.07692248521165222
13,0.07142806122813408
14,0.06666622222518517
15,0.062499609377441395
16,0.058823183393038866
17,0.05555524691529492
18,0.0526313019405161
19,0.049999750001249996
20,0.047618820862757795
21,0.045454338843914345
22,0.043478071834470285
23,0.04166649305627893
24,0.03999984000064
25,0.038461390533113336
26,0.03703689986333384
27,0.035714158163720845
28,0.034482639715035464
29,0.03333322222259259
30,0.03225796045819207
31,0.031249902344055173
32,0.030302938475944008
33,0.029411678200946464
34,0.028571346939008743
35,0.02777770061749828
36,0.027026953981205453
37,0.026315720221788887
38,0.025640959894974627
39,0.024999937500156246
40,0.024390184414184352
41,0.02380946712031638
42,0.02325575987032588
43,0.022727221074497556
44,0.02222217283961591
45,0.021739083175906136
46,0.021276550475424517
47,0.020833289930645975
48,0.020408121616078332
49,0.01999996000008
50,0.019607804690579038
51,0.019230732248591828
52,0.018867888928511455
53,0.018518484225029212
54,0.018181785124027044
55,0.017857110969444697
56,0.017543828870475665
57,0.017241349583880027
58,0.01694912381504438
59,0.016666638888935183
60,0.01639341574849877
61,0.016129006243538316
62,0.015872990677792576
63,0.015624975585975646
64,0.015384591716012743
65,0.015151492194708795
66,0.014925350857685286
67,0.014705860726675402
68,0.014492732619228087
69,0.014285693877580174
70,0.014084487204947599
71,0.013888869598792224
72,0.013698611371765243
73,0.013513495252033443
74,0.013333315555579258
75,0.013157877423845494
76,0.012986996120784258
77,0.012820496383978995
78,0.012658211825048322
79,0.012499984375019531
80,0.012345663770785468
81,0.012195107079137709
82,0.012048178255206921
83,0.011904747732443176
84,0.011764692041538774
85,0.011627893455937842
86,0.011494239661793491
87,0.011363623450427896
88,0.011235942431525358
89,0.011111098765445816
