agent,group,model,r2_SG,r2_AS,id,r2_VS,Unnamed: 0,r2_DB,fit,lambda,beta,tau,par
1,0,AS,0.3269019423429561,0.31498163366324067,0,0.2672951916203029,240,0.3139984289016935,367.942915741851,0.8893497425432617,0.16973931664353098,0.060673545410039297,
1,0,DB,0.3269019423429561,0.31498163366324067,0,0.2672951916203029,240,0.3139984289016935,368.47102308103007,0.8814277769480603,0.17411378730167298,0.06057703047776194,0.21428570000000002
1,0,VS,0.3269019423429561,0.31498163366324067,0,0.2672951916203029,240,0.3139984289016935,393.5566647869498,0.7972145570843328,0.006737946999085468,0.11342552921074751,0.116
1,0,SG,0.3269019423429561,0.31498163366324067,0,0.2672951916203029,240,0.3139984289016935,361.5401777311723,0.9198221232244083,0.13161801001538953,0.0670874943709274,15.132895670004348
4,0,AS,0.4490077764807263,0.42155019782996594,1,0.3344612550402821,6960,0.4486632020154596,319.9088885407179,0.6811658336629438,0.2528878897679921,0.03792194047490435,
4,0,DB,0.4490077764807263,0.42155019782996594,1,0.3344612550402821,6960,0.4486632020154596,316.9454452082656,0.5919402920218688,0.28705252210300586,0.03250738196446477,0.21428570000000002
4,0,VS,0.4490077764807263,0.42155019782996594,1,0.3344612550402821,6960,0.4486632020154596,353.5020756928368,0.9863226134061525,0.006862834910527118,0.11018933295603767,0.11601188794336076
4,0,SG,0.4490077764807263,0.42155019782996594,1,0.3344612550402821,6960,0.4486632020154596,298.632073223507,0.6139611590559073,0.2650047129087475,0.035726240957157346,17.286421080944606
2,0,AS,0.4847145631152634,0.483038487601192,2,0.3674494318262793,20400,0.4791140512812885,310.7018983431277,1.0516108530148627,0.006737946999085468,0.07824373817741735,
2,0,DB,0.4847145631152634,0.483038487601192,2,0.3674494318262793,20400,0.4791140512812885,296.13872995995,1.0551452095957163,0.006737946999085468,0.07317856342294099,0.21576118852733034
2,0,VS,0.4847145631152634,0.483038487601192,2,0.3674494318262793,20400,0.4791140512812885,357.4798551302872,0.9077623064264274,0.006998708793016173,0.10539242335699625,0.11606187876050006
