Unnamed: 0,agent,group,fit_AS,fit_DB,fit_VS,fit_SG,r2_AS,r2_DB,r2_VS,r2_SG,id,model,lambda,beta,tau,par
240,1,0,367.942915741851,368.47102308103007,393.5566647869498,361.5401777311723,0.31498163366324067,0.3139984289016935,0.2672951916203029,0.3269019423429561,0,SG,0.9198221232244083,0.13161801001538953,0.0670874943709274,15.132895670004348
6960,4,0,319.9088885407179,316.9454452082656,353.5020756928368,298.632073223507,0.42155019782996594,0.4486632020154596,0.3344612550402821,0.4490077764807263,1,SG,0.6139611590559073,0.2650047129087475,0.035726240957157346,17.286421080944606
20400,2,0,310.7018983431277,296.13872995995,357.4798551302872,295.9536491801186,0.483038487601192,0.4791140512812885,0.3674494318262793,0.4847145631152634,2,SG,0.8690544025250277,0.010514502436092803,0.07477140942956245,3.936324380621181
21360,3,0,277.6747829631547,279.7827097183312,339.7609638594501,276.77451496749666,0.4044090677410344,0.4099262635436365,0.3418668928588451,0.44402121583759036,3,SG,1.117320909623079,0.03733758699739059,0.06642841506086294,14.994586441718122
6000,3,1,402.467535465686,403.60980861342927,404.2606091290875,402.1372143339784,0.23257643897272098,0.2268595569015847,0.22593233224104736,0.24160851168041375,4,SG,0.9996093384518736,0.35571014223836334,0.05361942067691659,16.003427709506326
24480,4,1,378.04338065836936,378.514256385994,378.2847968502921,378.336031688348,0.27150615386710253,0.266524313849105,0.254201035254473,0.27588061058847313,5,AS,0.9488144732875872,0.3784065312915426,0.05400962000668097,
25680,2,1,391.2948367786704,393.9707252395649,400.5899098927528,388.9451912217856,0.2507053625630459,0.24857873353419302,0.247367104536938,0.2513203385072156,6,SG,0.8783702956257193,0.37743306305115903,0.05275882449565132,11.284836943024185
27120,1,1,377.8238838417968,379.70904199735816,382.0623990438443,374.1261810148367,0.2961770754550604,0.2953004217463331,0.2957276184378905,0.2956322318886105,7,SG,0.6784794272897084,0.47272259098743696,0.03745247998463305,10.752924430561183
4320,4,2,406.1457826439096,409.31133034411096,429.13698556124353,412.979543061241,0.28618825747245213,0.2936121726455878,0.29045089435428517,0.30397868407743583,8,AS,1.1070645201437412,0.31001824517286425,0.07427157662410795,
20160,1,2,383.4086598887495,379.4210631625023,381.1190759591424,373.8529140007464,0.3246441802695176,0.31800909466254873,0.3222863233043548,0.3286198918744119,9,SG,0.8313298958046276,0.34635508571604334,0.05094448856833744,5.590885080403065
23040,2,2,362.7528861798447,366.3167800320349,364.0193584516811,360.61741800564624,0.28658055728658277,0.28026456567174296,0.2705740318639922,0.29727670290445585,10,SG,0.9312621869470895,0.43046766042848716,0.041942022113410846,15.005830139924992
29280,3,2,383.197944461909,386.59044382363095,391.7955061103345,377.45273937071465,0.24385737945150998,0.2379639154890879,0.20105346724465328,0.2311346140530275,11,SG,0.8471806401369187,0.4011106308428803,0.045045891326175945,7.367973403782262
10560,2,4,449.2061868174588,446.3495175428797,407.2350533946534,431.687410496337,0.28996089760955945,0.2870534581060252,0.27922364249703646,0.28294418978104363,12,VS,2.047777133163911,0.006737946999085468,0.12517538209465895,0.116
12960,1,4,381.382267195784,382.9439359346736,387.1495533698653,385.1511412350876,0.1636895967363769,0.16900800575015307,0.24182942772788857,0.19630520916505467,13,AS,0.8595967272649689,0.4325223094486757,0.045447049585390135,
18480,3,4,275.6887188496287,273.5542620055959,274.2918542720889,273.95203758917944,0.4867360459350566,0.49070987469424776,0.4893366610032137,0.4899693153064262,14,DB,2.2486861457939264,0.021734332983341625,0.06155277169258229,0.21428570000000002
22080,4,4,391.8796060801516,392.7130843758224,405.4809130366125,394.5794651850232,0.27041745859822663,0.2688657289248168,0.24509520160470838,0.26539099119191784,15,AS,0.8939785005349878,0.38995259374798,0.05410500423734317,
480,4,6,382.0185344450019,382.5767412034861,395.0957239122007,380.5098459487272,0.22290127386472697,0.22955441761975962,0.2335852146218385,0.2285961396913554,16,SG,0.7237362165062258,0.42938147818177863,0.045483865135002535,9.013491808625686
5040,1,6,413.606247246527,410.0034593283818,407.8750645088156,410.5671990875016,0.2735990456674675,0.26967928103085886,0.22531239972988004,0.24557236521651998,17,VS,2.2028983915171536,0.006737946999085468,0.13016784781788854,0.116
5520,3,6,434.0894695389557,424.2038584783247,433.1371838699756,441.170851783,0.19183317154503016,0.21023772521156994,0.19360609105330617,0.17864939577796335,18,DB,0.7559942132233168,0.44964888549758614,0.04445313185763892,0.21428570000000002
11280,2,6,390.17068485924585,392.2761023199896,416.1068205466445,405.2246148419307,0.2887763259464957,0.2877370835384607,0.2644298456044694,0.2915851293907622,19,AS,0.6294069934846084,0.4778414543522357,0.03528685346136384,
7440,3,8,398.453707129614,397.035725702478,401.0250163860847,398.57336614156696,-0.36854824248761586,0.04412699044219741,0.20886840822331781,0.18192074526078358,20,DB,1.026299468958461,0.376114389626392,0.05349581250253823,0.21428570000000002
8880,2,8,375.25189782912025,383.744273205066,374.4039659776712,367.2614336241736,0.30137412349033493,0.2855634287943393,0.30295276209647143,0.31625038418666873,21,SG,2.3207420425799823,0.007365903388610422,0.09975673869064901,2.4462031294515616
13680,1,8,735.0863209216961,513.4266751071822,424.9393577145374,439.4137166078421,0.25817811448161065,0.26081804388140406,0.25339097498019425,0.25795533910701157,22,VS,1.5176777450654053,0.051818719927831346,0.11358833412998404,0.1191161455703123
20880,4,8,397.8323641833288,393.5033290978074,399.6939863660724,397.78448744992704,0.2593349007976102,0.26739448943276417,0.25586902244583365,0.2594240353896822,23,DB,0.8453757019148214,0.4590716761834679,0.04948542067598294,0.21428570000000002
