agent,group,model,fit_SG,fit_VS,id,fit_DB,fit_AS,Unnamed: 0,r2,lambda,beta,tau,par
1,6,AS,382.275285169763,400.9443397584345,8,383.43123750645503,334.971800702976,240,0.33904872749470055,0.37994190523754956,0.7026755505452318,0.003040923199823013,
1,6,DB,382.275285169763,400.9443397584345,8,383.43123750645503,334.971800702976,240,0.24824193066260705,0.9378339179357471,1.3048724031637144,0.02984775850277456,0.21428570000000002
1,6,VS,382.275285169763,400.9443397584345,8,383.43123750645503,334.971800702976,240,0.21135185688558097,1.9752930801806248,0.006737946999085468,0.08537739218296843,0.116
1,6,SG,382.275285169763,400.9443397584345,8,383.43123750645503,334.971800702976,240,0.2485428258736966,5.422237655654162,0.1782926875609263,0.059204186764944815,14.3647777355209
2,6,AS,375.37518511753257,392.3112719874367,9,386.7180213238382,1814.0092643064097,4080,-2.3915007159024726,0.8363819443206606,1.6069807871909396,0.025904867656624926,
2,6,DB,375.37518511753257,392.3112719874367,9,386.7180213238382,1814.0092643064097,4080,0.2662024366653021,1.2579496441717617,0.20608093969897048,0.04676251511306073,0.21641682575894566
2,6,VS,375.37518511753257,392.3112719874367,9,386.7180213238382,1814.0092643064097,4080,0.2554242112950781,1.714872050762101,0.03573591615241196,0.07224501188754574,0.116
2,6,SG,375.37518511753257,392.3112719874367,9,386.7180213238382,1814.0092643064097,4080,0.28745877385243734,1.1005358575946016,0.2498672300631016,0.04071723314722526,16.875490329859304
3,6,AS,294.5326836772793,293.70147846412306,10,293.22908833763256,291.05801401382104,7920,0.45812223380635897,1.3958374747593147,0.24390046588028466,0.030323576119301657,
3,6,DB,294.5326836772793,293.70147846412306,10,293.22908833763256,291.05801401382104,7920,0.4540802323902031,1.393672869985442,0.2456008717549438,0.029967841339586607,0.21526394897909945
3,6,VS,294.5326836772793,293.70147846412306,10,293.22908833763256,291.05801401382104,7920,0.45320075924674086,1.3869489013243157,0.23996778741502361,0.03129569292922574,0.11624807779630748
3,6,SG,294.5326836772793,293.70147846412306,10,293.22908833763256,291.05801401382104,7920,0.4516532614886747,1.3926586260133949,0.23388323475049133,0.03035445860072129,11.140887656155858
4,6,AS,307.4997450303305,364.996946785883,11,319.5823374351271,311.1652891535913,11760,0.42068747917884264,0.8543522537050683,0.41350352549432845,0.022793167328422775,
4,6,DB,307.4997450303305,364.996946785883,11,319.5823374351271,311.1652891535913,11760,0.40501702483249324,0.8621053875677199,0.4105982371388182,0.023735827665613492,0.21428570000000002
4,6,VS,307.4997450303305,364.996946785883,11,319.5823374351271,311.1652891535913,11760,0.32046629651488767,1.1405884258357246,0.3061216892083801,0.039804919618886124,0.116
4,6,SG,307.4997450303305,364.996946785883,11,319.5823374351271,311.1652891535913,11760,0.4275118123556038,0.8459908512585266,0.4058906233054527,0.02301902412165866,18.999999999999996
1,7,AS,325.2678629906975,378.2014542917682,12,352.8030043912222,1036.9155958623264,360,-0.9304794225337647,0.6419651206519308,2.942830803661101,0.018511352232119412,
1,7,DB,325.2678629906975,378.2014542917682,12,352.8030043912222,1036.9155958623264,360,0.343168390076204,0.6870083075873614,1.2562239413017093,0.021454027367343826,0.21428570000000002
1,7,VS,325.2678629906975,378.2014542917682,12,352.8030043912222,1036.9155958623264,360,0.29588278159185766,1.6587447698937035,0.10865628976995804,0.07809375863859536,0.116
1,7,SG,325.2678629906975,378.2014542917682,12,352.8030043912222,1036.9155958623264,360,0.39443198769435395,0.8863311888370942,0.3629330798635755,0.03166552036324169,10.554348212442152
2,7,AS,340.25378615988234,388.1719067722123,13,346.47208011028044,344.979457681302,4200,0.35773389183449567,0.7513440237604218,0.42251917631000574,0.02403061571031606,
2,7,DB,340.25378615988234,388.1719067722123,13,346.47208011028044,344.979457681302,4200,0.3549549994190924,0.7533353169694241,0.42403582338714,0.02386309395989255,0.21428570000000002
2,7,VS,340.25378615988234,388.1719067722123,13,346.47208011028044,344.979457681302,4200,0.27732027426372635,1.687670116553312,0.11138378641138687,0.07747279232033319,0.116
2,7,SG,340.25378615988234,388.1719067722123,13,346.47208011028044,344.979457681302,4200,0.36653191904727744,0.7323048720851852,0.4240885749098697,0.023668189667361388,17.73457252549958
3,7,AS,347.5685880087314,368.1818077836788,14,296.40820076524216,288.4310601175354,8040,0.46301296981318585,0.7111792307573799,0.4616995092956351,0.017494118359482863,
3,7,DB,347.5685880087314,368.1818077836788,14,296.40820076524216,288.4310601175354,8040,0.4481615142728257,0.699135762252893,0.465203779012299,0.017715674555723933,0.21428570000000002
3,7,VS,347.5685880087314,368.1818077836788,14,296.40820076524216,288.4310601175354,8040,0.3145368759869206,1.5526572776850718,0.17639025236340994,0.06587236330394691,0.116
3,7,SG,347.5685880087314,368.1818077836788,14,296.40820076524216,288.4310601175354,8040,0.3529135739230808,1.5070295685840134,0.1784881874160955,0.060656552573566704,18.999999999999996
4,7,AS,335.51112387728864,368.7022886350189,15,331.196695387765,324.4256188591921,11880,0.3960000371779466,0.9072893609613295,1.3495614280062953,0.026187171549005857,
4,7,DB,335.51112387728864,368.7022886350189,15,331.196695387765,324.4256188591921,11880,0.38339397361889604,0.9828059208178062,0.4241250047459015,0.030778349368294124,0.21428570000000002
4,7,VS,335.51112387728864,368.7022886350189,15,331.196695387765,324.4256188591921,11880,0.3135678698524344,1.5699432294771873,0.27290128953394477,0.058267165586271395,0.116
4,7,SG,335.51112387728864,368.7022886350189,15,331.196695387765,324.4256188591921,11880,0.37536157883936494,1.2274428599766918,0.3681440412400233,0.03704921329077708,17.42956901110489
1,9,AS,327.3205037816987,328.6364672071222,16,323.8544752324408,325.1730870530152,480,0.3946084369619483,1.9474233036304593,0.006737946999085468,0.05737143642748969,
