agent,group,model,Unnamed: 0,id,r2_DB,r2_VS,r2_SG,r2_AS,fit,lambda,beta,tau,par
2,0,SG,20400,2,0.4062486461535848,0.3409771763315437,0.4052916130864559,0.406963299874021,192.6410324724116,0.7514641945749555,0.054287438302404005,0.0452989570568554,18.986745264443513
3,0,AS,21360,3,0.569279740315979,0.5074134504121853,0.5869412253314373,0.5920618408262381,318.5369375614787,1.072346055728777,0.006737946999085468,0.07773343861870968,
3,0,DB,21360,3,0.569279740315979,0.5074134504121853,0.5869412253314373,0.5920618408262381,318.9207984717332,1.0854732766517368,0.006741748273052638,0.0776155167470145,0.21428570000000002
3,0,VS,21360,3,0.569279740315979,0.5074134504121853,0.5869412253314373,0.5920618408262381,353.97996783314494,1.0159607516159692,0.006737946999085468,0.09801821827436662,0.116
3,0,SG,21360,3,0.569279740315979,0.5074134504121853,0.5869412253314373,0.5920618408262381,319.43484824687107,1.0369516058318582,0.006737946999085468,0.07668335545904996,18.999999999999996
3,1,AS,6000,4,0.18878339023696566,0.21257968938583666,0.21015891286838134,0.21072202792279854,356.2585281643936,0.9962222028748513,0.38506527899152343,0.04096113020648069,
3,1,DB,6000,4,0.18878339023696566,0.21257968938583666,0.21015891286838134,0.21072202792279854,360.6046205793006,1.0114679761561534,0.3828213882925699,0.04200980430279603,0.21428570000000002
3,1,VS,6000,4,0.18878339023696566,0.21257968938583666,0.21015891286838134,0.21072202792279854,361.4980943349171,0.9903969281428279,0.379523885853733,0.04274868131444295,0.116
3,1,SG,6000,4,0.18878339023696566,0.21257968938583666,0.21015891286838134,0.21072202792279854,358.8909168861297,0.9762260951147721,0.38933489887015954,0.04164624535696289,18.999999999999996
4,1,AS,24480,5,0.2687189134332044,0.19985510295486508,0.2639131822545799,0.2618785953660499,434.7408420861775,1.1383008780215123,0.2196651893291838,0.0798708319866264,
4,1,DB,24480,5,0.2687189134332044,0.19985510295486508,0.2639131822545799,0.2618785953660499,429.8945684047564,1.3706092294366288,0.13662310446303977,0.09573809733906648,0.24585993298032197
4,1,VS,24480,5,0.2687189134332044,0.19985510295486508,0.2639131822545799,0.2618785953660499,436.2228716893049,1.3206650183231698,0.14476230138795987,0.09438691289763365,0.116
4,1,SG,24480,5,0.2687189134332044,0.19985510295486508,0.2639131822545799,0.2618785953660499,436.2456329052498,1.4012137650472303,0.11646332501992193,0.10174192613055495,18.999999999999996
2,1,AS,25680,6,0.32864371750527355,0.326980291179472,0.3318342083506111,0.33673506265321757,396.4660732307615,0.6571678710705766,0.4486837951413227,0.025535671079694643,
2,1,DB,25680,6,0.32864371750527355,0.326980291179472,0.3318342083506111,0.33673506265321757,392.79194316664393,0.4427776671401457,0.5110658346913032,0.01344746297616931,0.21428570000000002
