Unnamed: 0,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit,lambda,beta,tau,gamma,alpha,eps_soc,lambda_fit,beta_fit,tau_fit,par_fit
2430,2.0,5.0,VS,57.81771363896823,58.04837900731872,57.80537873131399,57.81446839651933,2.19161030225438,0.0067379469990854,0.1220590017032284,0.0,0.116,0.0,2.2814854199314927,0.007569576463765972,0.13343182283002297,0.11870141949368854
2445,3.0,5.0,VS,56.73791802444775,56.880141017899085,56.39718549924503,56.63794480846615,1.6629141586002807,0.0518294320916409,0.1001418145863309,0.0,0.116,0.0,1.74519913856233,0.050475404144014996,0.09752154139870628,0.12897396761647237
2880,0.0,6.0,AS,46.01755621919871,46.74559308339495,48.07566667492672,46.53153047776678,1.1660299515144734,0.275938719855191,0.0428411839511133,0.0,0.0,0.0,1.2547330030987531,0.24909659260002273,0.04293464205166542,
2895,1.0,6.0,SG,60.29985866053941,60.40150786919392,60.50943878265154,60.38126696819385,2.9651019939276777,0.0067379469990854,0.1499847713264295,0.0,0.0,12.866605368163244,3.563193045530621,0.006737946999085468,0.18985161752761845,10.16972939444803
2910,2.0,6.0,DB,55.96780572975102,56.13552506099688,56.473544055450674,56.43182094487089,1.5862527165242384,0.1543953164784384,0.0951729762242541,0.2142857,0.0,0.0,1.4013378203329925,0.19407212085693426,0.08032745819580855,0.21428570000000002
2925,3.0,6.0,AS,41.36960735906917,41.81540827006849,43.85613744572143,41.46117511085696,1.3958374747593147,0.2439004658802846,0.0303235761193016,0.0,0.0,0.0,1.3197892663400523,0.2409794180268755,0.032688653880411186,
3360,0.0,7.0,SG,55.68598487859825,55.89528110148977,56.389309925777965,55.63512006022879,1.2855517719115568,0.0259161321108834,0.0796610697580515,0.0,0.0,17.263797610492794,1.4102464340700607,0.033935709266380704,0.07893530211449984,12.582300176705973
3375,1.0,7.0,DB,47.302975672777954,44.08793662347468,47.695937452294096,47.20933086753141,1.4592069780498085,0.1285656396159991,0.0556243089639281,0.2142857,0.0,0.0,1.4618034964503466,0.16887761681431526,0.046107840242763966,0.24292455055628998
3390,2.0,7.0,VS,48.293201003079005,48.44419809473124,47.15370529196069,47.70655612516944,1.5161332370430165,0.0067886058451941,0.0827897883442804,0.0,0.1160280167538945,0.0,1.3599028691954582,0.050978992032959594,0.08039961855536626,0.13665496146999104
3405,3.0,7.0,DB,57.0188107852021,57.449822319945774,58.54800451852748,57.12237885148659,0.9718950736289454,0.3607800760778929,0.0549941696275047,0.2142857,0.0,0.0,0.928922502597059,0.39120938003640787,0.05164017203600711,0.21428570000000002
3840,0.0,8.0,VS,49.4245771992849,49.84335663226605,46.71460327839142,48.53887062731043,0.6770132564316029,0.4216679203462959,0.0242831968136396,0.0,0.116,0.0,0.6927322586029104,0.4246073793962056,0.02464835605162523,0.11750542569444272
3855,1.0,8.0,DB,49.11633716260872,48.65733731981324,49.41048995440482,49.16150646682731,1.7630969392381417,0.0067379469990854,0.0898030855590738,0.2142857,0.0,0.0,1.6679021693082852,0.006782530157099799,0.09290447588492251,0.21428570000000002
3870,2.0,8.0,VS,55.96870578364057,55.80328709811609,54.75839477016065,55.93724436208101,2.0470738126696784,0.0067379469990854,0.0954077524469536,0.0,0.116283452166191,0.0,1.5113757926832463,0.17385044470728878,0.07121154947685762,0.14784705389097044
3885,3.0,8.0,DB,64.32862437561874,64.34347172756425,65.32444933308415,64.29721081381516,0.5046534762369362,0.496096644560711,0.0285252532246933,0.2142857,0.0,0.0,0.47011096011438563,4.464987604518068,0.02597410409410196,0.2640731055416714
4320,0.0,9.0,VS,53.04296296465997,53.27944639929712,52.78414175905701,53.13357506407189,1.606293654426492,0.0067379469990854,0.0927391368856327,0.0,0.116,0.0,1.6093253147598112,0.04144459164797967,0.09071980052277817,0.116
4335,1.0,9.0,AS,33.60862106127667,34.57184770711604,34.78715904988268,34.15661592407394,1.64868588420881,0.0780294223740971,0.0406382949019657,0.0,0.0,0.0,1.6329740274645819,0.07064442433110837,0.03756080393291148,
4350,2.0,9.0,DB,50.65026688015468,50.328559640356346,57.38872920353236,51.42798253329822,0.6974352842530797,0.4891636401754289,0.0275959429979213,0.2142857,0.0,0.0,0.6047435233775371,1.0490852884792636,0.016021097381423932,0.21428570000000002
4365,3.0,9.0,SG,51.3955700816374,51.536766555363656,52.08330781388798,51.46126818662621,1.7186383069929871,0.0067379469990854,0.0846398977905464,0.0,0.0,15.980921547257944,1.4313231490256875,0.057246206394858085,0.0793539081021814,18.00051382895442
4800,0.0,10.0,SG,44.62506845889354,44.93172246414237,47.02846596966087,44.52317457374674,1.5195309158865682,0.1865397448019594,0.0575691544492449,0.0,0.0,19.0,1.717042867495693,0.18838310248560758,0.05674799002741883,16.73157674926561
4815,1.0,10.0,SG,52.45376842971484,52.31879104450545,52.25586807360939,51.00260423845313,1.3123109414646104,0.0314248756168389,0.0795311522664124,0.0,0.0,5.455841344404104,1.4324640483375397,0.021784000269512046,0.091252005948887,4.31426085844557
4830,2.0,10.0,SG,49.64463114166299,49.83433087677797,51.0757792052432,49.16786246202793,1.3357917516260218,0.2293611156846949,0.0563534818330072,0.0,0.0,11.23012585188539,1.4800556060226495,0.21286291139950198,0.058334692229586364,8.592457539970919
4845,3.0,10.0,DB,55.57462848511806,54.755328600343205,55.66858576891829,55.42028537887946,1.343376431048677,0.1677761966523903,0.0917206893111295,0.2329023860607756,0.0,0.0,1.2739153526590405,0.15849682039890647,0.0776884695109976,0.38823090412560946
5280,0.0,11.0,SG,53.94262214581959,54.11719571169487,55.02909561412309,53.9536559803425,10.563839197901768,0.0549905450927548,0.1572571727976954,0.0,0.0,16.426372394695452,9.283519189259168,0.2685317188081176,0.1563076460791914,18.227768320077544
5295,1.0,11.0,SG,40.89612355628088,41.64505997216504,40.58026858535253,40.31308631463404,0.8863311888370942,0.3629330798635755,0.0316655203632416,0.0,0.0,10.554348212442152,0.9400537541043924,0.35910298034616595,0.029688440384277055,11.99180054161826
5310,2.0,11.0,VS,58.02145799880475,58.09299254901209,57.38538261693424,58.15996076651805,2.459835267429854,0.0072298221068487,0.1201736574084026,0.0,0.1164092997625058,0.0,2.325653306503267,0.007933909013887002,0.1375941313888071,0.116
5325,3.0,11.0,VS,58.92364299563415,58.86348910955776,56.68715386102164,58.991757174208274,1.1239698590198812,0.3246920925215095,0.0592749755050464,0.0,0.116,0.0,1.077175764309604,0.28855167480579125,0.06514216731920629,0.14356710140518453
5760,0.0,12.0,AS,68.00761306823799,62.85603322900785,58.86402611796442,56.4171006392158,0.529999714665391,0.4316543414511868,0.0238832456526829,0.0,0.0,0.0,0.5360510903462216,0.5131576129907303,0.020026531874005937,
5775,1.0,12.0,VS,56.60414442918962,56.82996550268346,56.75450177608965,56.96372669203845,1.6049796365931095,0.129686394319516,0.0765777066332691,0.0,0.116,0.0,1.8924669714636386,0.007094881701517553,0.1105748462258498,0.11874316799161808
5790,2.0,12.0,AS,59.12927086405081,59.43204594486811,60.598365115477925,59.82243122406644,0.7238952596641132,0.4726117391778311,0.0451755832374193,0.0,0.0,0.0,0.7077132413735232,0.6303182462272902,0.0385366481543676,
5805,3.0,12.0,DB,57.399411627078,57.12334686896113,58.37830850608349,57.94134817824336,0.8008638915439135,0.4542468540778682,0.0466616948037588,0.2142857,0.0,0.0,0.7997898447600646,0.4791913191501955,0.04643470866913014,0.25754053024624407
6240,0.0,13.0,VS,53.09447556965684,52.99152078814982,51.58755981564794,52.933334843594885,1.2804935260786952,0.2132520582750086,0.0584261759418607,0.0,0.116,0.0,1.2979853370513865,0.18295385840018938,0.06371856038405073,0.12225137149608364
6255,1.0,13.0,AS,51.31816815064322,51.49703106619412,51.95256534101305,51.46173459248,1.85902353696504,0.0067379469990854,0.0935886889313678,0.0,0.0,0.0,1.9018820592755776,0.05359474768604856,0.0860329645763803,
6270,2.0,13.0,VS,51.60804084430912,51.22340435542914,51.15980353332949,51.97660213707219,1.7331104919865676,0.090323282138607,0.079697773865088,0.0,0.116,0.0,1.6746554318387057,0.11097568796203183,0.06926513649264475,0.1160857768188704
6285,3.0,13.0,DB,61.5321271531567,60.89942838498924,63.49654907347137,61.78408455565678,0.2967197633137648,0.5119503896387376,0.0005674458369629,0.2142857,0.0,0.0,0.30171394973452625,9.748430752531833,0.0006129524052019677,0.3400317001279875
6720,0.0,14.0,VS,59.41987213643888,59.481870441414266,58.78432585037616,59.29726191763359,1.5264175130414228,0.0067379469990854,0.1119404545293358,0.0,0.116,0.0,1.3471002574692055,0.012971710775999292,0.1192983143925492,0.11933065930668779
